#{"t_start": 1750064445.986279, "env_id": "my_robotenv-v1"}
r,l,t
-158.0,272,3.482901
-31.0,2,3.4899
-88.5,98,3.745081
-98.5,158,4.161678
-44.5,30,4.241698
-1691.0,3297,19.594927
-399.5,769,27.312056
-52.0,36,27.399596
-813.0,1501,37.407099
-57.5,54,37.54222
-83.5,101,37.78823
-49.0,38,37.877469
-41.5,20,37.925056
-156.5,259,38.656444
-191.0,354,39.76576
-95.0,157,40.204364
-437.5,694,42.242584
-756.0,1594,52.783521
-438.0,1228,62.353022
-235.5,413,63.571399
-1321.0,3439,85.812096
-1217.5,3177,101.710704
-2063.0,6699,138.012368
-40.0,17,138.063878
-31.5,2,138.068878
-32.0,3,138.075878
-262.0,1105,147.071369
-205.5,996,150.129706
-39.5,38,150.243642
-35.0,15,150.28515
-380.5,1660,161.211518
-5229.0,19266,276.909511
-219.5,1139,280.356661
-533.5,2290,292.736594
-94.5,764,300.849581
-32.5,3,300.859091
-65.0,82,301.167755
-530.0,2429,314.517849
12.0,403,315.647935
-1533.5,5979,350.939836
-1377.5,5507,385.043631
-50.0,619,387.090638
43.0,304,388.19519
-2845.0,11006,455.696221
-669.0,2976,470.015348
-59.0,64,470.174883
-1097.0,4601,495.597007
-835.5,3632,518.051232
-727.0,3247,540.486686
-1048.5,4495,566.708837
-250.5,1366,577.211763
-3007.0,12072,645.886363
-114.0,757,653.738232
-1262.0,5003,681.036022
-41.0,15,681.092549
-29.5,12,681.133069
-40.0,20,681.196711
-487.0,1631,692.623196
-356.5,1796,703.873693
-203.0,1347,713.224777
-1442.0,6007,748.995903
-1347.0,5681,777.455939
-152.5,1028,786.395141
-81.5,851,788.816295
-419.5,2082,800.944104
84.0,145,801.337261
-477.0,2271,813.79303
-344.5,1855,825.120882
-205.0,1296,834.768464
46.5,232,835.469944
-729.5,3192,856.854642
-30.5,1,856.859643
-119.5,872,859.252155
6.0,421,860.526017
-223.5,1321,870.151745
-173.0,1140,873.429813
-88.5,850,881.922279
-30.5,1,881.931278
3.5,472,883.246108
-1.5,441,884.612957
-34.0,6,884.630963
-36.5,9,884.672469
-38.5,598,892.381719
0.0,503,893.889689
-332.5,1814,905.319204
-234.5,1366,909.393123
53.5,277,916.262494
82.5,162,916.718849
-472.5,2304,929.472616
-309.5,1538,939.896822
-818.0,3527,955.745802
77.0,189,956.290492
-26.5,488,963.244744
-23.0,603,964.946506
8.0,448,966.108273
-33.0,3,966.118273
69.0,205,966.684638
-384.0,1859,979.094772
-111.0,820,981.656766
-164.0,1133,991.159846
34.5,339,992.100883
-58.0,621,1000.230317
107.0,56,1000.431978
-110.5,922,1003.435325
-24.5,565,1005.205801
-36.0,9,1005.230799
76.0,194,1005.789059
-30.5,16,1005.832565
-34.5,8,1005.857073
43.5,283,1012.478877
-169.5,1164,1015.878946
-913.5,3886,1039.37106
-51.0,666,1041.369503
-5.0,466,1048.763679
