#{"t_start": 1750064445.9800642, "env_id": "my_robotenv-v1"}
r,l,t
-1231.0,2470,15.615497
-34.0,5,15.634493
-98.5,147,16.063942
-38.5,15,16.107466
-57.5,58,16.261607
-153.0,292,17.190584
-33.5,4,17.201102
-117.5,163,17.77622
-73.0,105,18.02877
-111.5,134,18.411874
-37.5,14,18.446874
-677.0,1297,27.509434
-35.5,8,27.529436
-5141.0,12264,99.526536
-2932.0,9477,149.950668
-1743.0,6123,185.786571
60.5,138,186.163794
-746.0,2892,206.934381
-153.0,944,209.953211
102.0,4,209.96819
-30.5,1,209.971183
-343.5,1466,220.260915
-151.5,974,228.683615
-669.0,2668,241.68241
-1255.5,4865,268.035016
-1390.0,5346,301.499535
-941.0,3782,324.681851
-1630.5,6279,360.731173
-2158.0,8494,409.606756
-240.0,1317,419.243643
-7.0,469,420.472744
-686.5,2990,435.03975
-121.0,888,443.834093
-212.0,1215,447.701887
87.5,132,448.075598
-1051.5,4403,472.302292
-31.5,2,472.308291
-1291.5,5227,505.446373
-32.5,3,505.461942
-4374.0,17273,607.902968
-1297.0,5283,643.095079
-32.0,11,643.144592
-1307.0,5440,677.537012
-916.5,3939,701.832669
-1198.0,5017,728.156203
-258.5,1494,738.480112
-619.5,2913,752.945635
99.5,68,753.13115
-101.0,768,761.303606
-54.5,52,761.460153
23.0,323,762.31629
-1207.0,5353,789.899069
69.0,188,796.40656
-31.5,2,796.412557
-676.5,3066,811.286227
-1010.0,4373,835.990357
-23.0,508,837.366553
-32.5,10,837.399579
-186.0,1161,846.897981
70.0,191,847.485786
-1207.5,5117,879.753215
-34.0,6,879.767724
-510.5,2315,892.720873
-554.0,2619,906.542033
-68.5,689,908.603381
-35.0,7,908.641912
-56.5,78,908.89962
-36.0,598,916.695517
-492.5,2290,929.416812
-15.5,483,930.968227
-252.0,1436,941.047374
-196.0,1190,944.555339
-36.0,9,944.606357
60.0,234,945.315247
-86.0,711,952.684253
-343.5,1757,963.411092
19.0,406,964.580452
-255.0,1505,975.336104
-31.0,6,975.351705
-210.5,1158,979.149507
-3405.5,13614,1062.158539
70.5,204,1062.788982
15.5,432,1064.18526
-200.0,503,1065.914485
-140.5,943,1074.601821
-510.5,2373,1087.227023
-36.0,21,1087.286618
-31.5,7,1087.303186
-50.0,614,1089.083828
-320.5,1698,1099.879646
68.5,183,1100.39503
-49.0,51,1100.559063
-369.5,1666,1111.392159
-105.5,883,1113.925177
-95.5,804,1122.121101
-2.0,459,1123.434283
32.5,254,1124.147099
-23.5,460,1125.505163
-208.0,1362,1135.325932
-29.5,613,1137.136794
-121.5,998,1145.702235
-23.0,531,1147.372533
35.0,309,1148.236235
-119.5,912,1156.663701
-422.5,2025,1168.466961
-102.5,835,1170.944293
-41.0,619,1172.949284
86.0,95,1173.234234
-49.0,661,1180.93152
-57.5,634,1182.766594
80.0,108,1183.089765
-79.0,761,1191.082258
45.5,271,1191.872573
-46.5,43,1191.995672
52.5,302,1192.821067
-167.0,1080,1196.070732
-546.5,2466,1214.865583
-426.5,1998,1226.335069
-147.0,976,1229.250157
-171.5,1074,1238.398411
-334.5,1767,1244.018465
