#{"t_start": 1750064445.9847677, "env_id": "my_robotenv-v1"}
r,l,t
-183.5,235,3.389393
-43.5,27,3.459413
-30.5,1,3.462412
-320.0,601,4.990472
-293.0,580,6.428494
-37.0,21,6.477005
-169.5,281,7.223511
-976.0,1742,18.641012
-203.5,333,19.505421
-46.5,23,19.563928
-799.0,1434,29.264022
-573.5,1127,37.999661
-97.5,96,38.265851
-514.0,996,41.218862
-1090.0,2456,54.360677
-82.0,83,54.623555
-1153.5,3287,75.97726
-131.0,302,76.8521
-2323.0,6835,114.900206
-6452.5,21759,243.264337
-917.5,3723,266.273683
-578.0,2547,279.938909
-39.0,23,280.005928
-374.0,1763,290.890409
-2350.5,9340,348.033381
67.5,151,348.462576
6.0,420,349.943565
-1705.0,6646,387.561874
-656.5,2996,407.736225
-69.5,142,408.167617
19.0,319,409.201511
-44.5,19,409.271018
-32.5,4,409.280017
-21.5,568,410.940228
-51.5,55,411.187555
-4227.5,16194,505.607856
-642.5,2885,520.340659
69.5,182,526.905996
-260.5,1425,531.422563
-947.5,3999,556.221954
-30.5,1,556.225956
-1402.5,5718,592.339738
-286.0,1480,603.112019
-30.0,2,603.12002
-810.5,3560,621.316159
-396.5,2062,633.128173
-2719.5,10356,701.224912
58.5,266,701.949992
-3260.0,12709,774.380085
-829.5,3634,796.968514
-559.5,2614,810.62009
-124.5,878,813.206646
-1330.0,5727,847.815072
-1788.5,7323,892.728145
73.0,122,893.066918
-31.0,4,893.077929
43.0,250,893.890211
-7.5,464,895.201558
-1409.5,5964,931.089535
-32.5,3,931.123057
-32.5,6,931.139122
49.0,274,931.972607
-33.5,5,931.988607
-417.0,2172,944.144927
-668.5,2876,963.530007
38.0,304,964.355667
38.5,244,965.058551
-77.0,791,967.318882
-38.0,25,967.407906
-15.5,607,975.606841
-50.5,52,975.747692
-31.5,18,975.804757
48.5,268,976.605153
-4.5,450,978.097352
-156.0,1167,987.792312
-610.5,2809,1002.684481
32.5,359,1003.956362
-332.0,1721,1014.936852
-31.5,2,1014.943442
-31.0,3,1014.951441
-42.5,660,1016.843983
