#{"t_start": 1750064445.9942791, "env_id": "my_robotenv-v1"}
r,l,t
69.0,142,1784.152585
39.5,209,1784.714088
-33.0,4,1784.725112
-31.0,27,1784.791388
56.5,274,1791.462469
38.0,254,1792.160025
99.0,80,1792.384902
28.5,347,1793.525757
46.5,317,1794.404996
81.0,134,1794.793021
94.5,86,1795.097742
-37.5,23,1795.155883
-18.0,572,1796.800095
82.5,117,1797.224111
12.5,394,1804.369137
-38.0,38,1804.543728
55.5,229,1805.347569
85.5,111,1805.676889
38.0,334,1806.665466
18.5,436,1808.005664
106.0,50,1808.147472
86.0,98,1808.414024
76.5,168,1808.891208
96.5,50,1809.047737
-39.0,634,1816.615225
90.5,103,1816.871689
-30.5,1,1816.875774
52.5,206,1817.463634
66.5,220,1818.139529
97.5,85,1818.471911
-31.5,3,1818.486911
58.0,222,1819.145096
-36.5,9,1819.176068
-27.5,525,1820.880761
28.5,306,1827.473406
71.5,150,1828.005993
-94.5,779,1830.256847
30.5,342,1831.460728
83.5,114,1831.803011
-33.5,5,1831.817009
65.5,184,1832.398138
81.5,150,1832.985996
38.0,298,1839.862048
-19.0,509,1841.926392
102.0,20,1841.991414
82.0,144,1842.396017
-32.5,4,1842.407017
33.0,301,1843.340299
-74.5,161,1843.811011
-31.5,11,1843.844011
59.0,176,1844.341232
53.5,273,1845.149642
-2.5,454,1852.382792
-32.5,5,1852.40633
-53.0,645,1854.603091
-62.5,734,1857.643298
13.0,331,1858.701257
95.0,72,1858.888918
93.5,51,1859.045658
-31.5,2,1859.05266
64.5,211,1865.71485
75.5,122,1866.222003
96.0,102,1866.637139
-30.5,1,1866.641118
-320.5,1342,1870.646728
-3.0,454,1877.850291
89.0,93,1878.113663
37.0,361,1879.139193
-9.0,425,1880.204297
58.5,217,1880.86892
-120.0,849,1883.482982
59.0,195,1890.147257
46.0,253,1891.028985
-35.5,31,1891.107054
96.0,95,1891.350435
-14.0,423,1892.579037
31.5,313,1893.604104
87.0,74,1893.813368
-74.0,654,1895.743404
-40.0,13,1895.785598
-37.0,521,1903.375227
86.5,93,1903.640312
-41.5,25,1903.712858
82.0,167,1904.198957
-47.0,82,1904.445574
-41.5,13,1904.482573
50.0,264,1905.258517
54.0,241,1905.970531
56.5,241,1906.737131
48.5,259,1907.601594
85.0,126,1907.940347
38.5,275,1914.614294
49.5,284,1915.416348
0.0,440,1916.782713
31.5,322,1917.790857
102.0,15,1917.838895
-35.0,8,1917.859473
-42.0,35,1917.955601
-36.0,28,1918.046734
24.5,413,1919.207021
76.0,136,1919.674356
-20.5,511,1926.904935
72.5,124,1927.307907
89.5,74,1927.525173
63.5,185,1928.073973
-21.5,559,1929.753076
26.0,340,1930.73052
89.5,61,1930.902685
8.0,339,1937.922296
46.5,313,1938.845209
5.0,402,1940.121976
69.5,128,1940.476831
67.5,205,1941.056873
94.0,123,1941.408458
76.0,117,1941.787932
97.0,88,1942.042826
42.5,241,1942.725067
47.5,222,1943.342923
-36.5,10,1943.398493
59.5,187,1944.016476
30.0,313,1950.852766
-42.0,38,1950.972772
76.5,158,1951.50035
51.0,266,1952.261984
-128.5,912,1955.062093
-27.5,508,1962.395132
-67.5,702,1964.552848
-96.0,878,1967.439779
16.0,322,1974.302123
98.0,69,1974.484153
98.5,65,1974.667919
80.0,144,1975.070538
14.0,368,1976.152865
70.5,133,1976.523593
-310.5,1539,1987.010251
81.0,164,1987.473723
-40.0,27,1987.558202
45.0,300,1988.461949
25.0,321,1989.460005
53.5,238,1990.251314
57.5,220,1990.982499
13.0,292,1991.780813
-31.5,2,1991.787813
57.5,205,1992.299517
49.5,233,1998.942285
-4.0,458,2000.261476
42.5,268,2001.016515
67.5,177,2001.520705
-67.0,548,2003.13938
28.5,310,2004.24485
-317.0,1583,2015.018572
100.5,67,2015.207504
-146.0,774,2023.135134
-32.5,7,2023.152728
91.0,78,2023.371941
10.5,363,2024.676158
-34.5,539,2026.255312
10.0,370,2027.387852
68.0,144,2027.794656
65.5,190,2028.330612
-53.0,82,2034.244582
89.5,85,2034.453141
75.5,150,2034.820646
-9.0,378,2035.956859
71.0,182,2036.57811
-56.5,617,2038.485721
-49.0,58,2038.67989
11.0,355,2039.788623
87.0,113,2040.115747
73.0,156,2046.196678
-92.0,785,2048.391073
-40.5,28,2048.490582
58.5,176,2049.024351
87.0,78,2049.248795
99.5,12,2049.281114
77.0,167,2049.750192
-6.5,471,2051.204375
45.0,261,2057.654425
-208.0,1147,2061.10203
59.0,202,2061.665753
69.5,186,2062.219839
78.0,143,2062.690746
44.5,238,2063.368507
57.5,184,2069.518067
26.5,374,2070.592997
29.5,313,2071.479622
95.5,95,2071.739826
98.0,76,2071.940995
27.0,344,2072.958
-33.5,5,2072.979997
86.0,122,2073.317181
68.5,167,2073.843251
59.0,234,2074.73257
47.0,262,2081.667662
-39.0,26,2081.738263
43.0,318,2082.621685
5.0,368,2083.699396
86.0,118,2084.026455
72.5,190,2084.566994
-45.0,55,2084.714635
77.5,157,2085.168443
56.5,222,2085.860705
-30.5,1,2085.864715
91.5,63,2086.050889
56.0,276,2086.808706
106.0,45,2086.936744
64.0,237,2093.469364
63.0,218,2094.121304
101.0,73,2094.318454
-33.0,4,2094.329481
92.0,96,2094.594829
70.5,175,2095.073163
-32.0,572,2096.744527
-50.5,91,2097.00626
64.0,234,2097.736171
-38.5,13,2097.775742
72.0,200,2098.328488
-516.5,2416,2117.222283
80.5,113,2117.555871
85.5,102,2117.907592
-378.0,1683,2123.439983
62.5,212,2130.022115
16.0,427,2131.51918
101.5,70,2131.729831
28.0,260,2132.516064
76.5,136,2132.891922
-33.0,4,2132.912922
93.5,49,2133.065452
95.0,97,2133.445312
37.0,292,2134.653981
15.5,401,2135.837364
103.5,51,2135.987893
-14.0,459,2143.167061
-49.5,565,2144.98413
42.0,337,2146.211374
-31.0,3,2146.220374
38.5,257,2146.996275
-38.5,12,2147.035786
-65.0,692,2155.1143
-49.5,42,2155.222955
-50.5,32,2155.315114
83.5,90,2155.612798
-36.5,31,2155.725813
-30.5,1,2155.728813
31.0,343,2156.705209
76.0,106,2157.00567
84.0,167,2157.479875
-10.5,421,2158.820707
3.5,464,2160.276767
81.5,139,2160.720145
59.0,190,2167.325839
88.5,108,2167.622056
76.5,105,2167.921304
79.0,135,2168.288329
60.5,177,2168.781209
-38.0,19,2168.834747
51.0,208,2169.515185
57.0,225,2170.129184
10.5,361,2171.20219
98.5,81,2171.432346
78.5,142,2171.937695
22.5,304,2172.780803
87.5,121,2178.885182
-38.0,13,2178.929183
85.0,71,2179.193075
71.5,190,2179.788991
77.0,163,2180.245404
-54.5,706,2182.316301
-46.5,64,2182.503467
84.0,128,2182.859315
-41.0,23,2182.923968
88.0,87,2183.22094
39.5,267,2183.988081
79.0,114,2184.438289
68.5,205,2191.001633
-285.0,1460,2195.33869
-36.5,10,2195.393292
61.5,163,2195.889641
13.0,356,2196.934464
-117.0,916,2205.790899
99.5,72,2205.991567
-201.5,1178,2215.370435
45.5,269,2216.210385
39.0,299,2217.130957
92.0,105,2217.503763
-31.5,6,2217.522764
-40.5,593,2219.35401
84.5,78,2219.592684
98.0,37,2219.692709
70.5,202,2220.356662
74.0,176,2220.873026
-33.0,5,2220.88778
-55.0,32,2220.99079
78.5,132,2221.471663
94.0,74,2227.591629
-38.5,26,2227.661765
83.0,139,2228.074493
-32.0,4,2228.09004
-7.5,508,2229.731309
-10.5,497,2231.111877
-33.5,5,2231.124906
88.5,123,2231.431918
49.5,204,2231.986758
-33.5,596,2239.880586
89.5,126,2240.242333
76.5,132,2240.667492
-36.0,11,2240.701001
51.0,264,2241.512784
40.0,258,2242.261507
-46.5,683,2244.326785
-13.0,476,2245.944939
85.0,118,2252.251328
-33.5,4,2252.262868
-50.5,31,2252.368973
-57.0,595,2254.167537
-146.0,968,2257.113901
38.0,294,2258.010708
24.5,293,2264.753165
62.0,150,2265.37213
-33.0,10,2265.399637
-267.0,1323,2269.145149
50.0,220,2269.806932
78.5,131,2276.21984
-39.0,65,2276.418758
-35.0,30,2276.516744
78.5,126,2277.034609
-44.5,29,2277.140133
82.5,123,2277.526104
34.0,317,2278.441458
73.5,213,2279.064748
10.0,304,2280.050363
52.5,207,2280.636595
76.5,139,2281.135509
93.0,130,2281.553544
91.5,46,2281.681729
71.0,117,2282.039706
77.0,150,2282.465835
40.0,232,2289.193203
89.0,122,2289.719039
65.0,164,2290.249099
68.5,150,2290.678134
71.0,132,2291.112504
72.5,207,2291.72578
-36.5,9,2291.750355
-32.5,3,2291.757354
86.5,99,2292.057509
58.0,210,2292.659302
58.5,185,2293.263881
46.5,276,2294.067045
-50.5,32,2294.164413
70.5,116,2294.491954
86.5,153,2300.979674
-19.5,557,2302.619897
82.0,104,2302.985324
77.5,119,2303.381321
23.5,299,2304.137173
76.5,159,2304.554092
-14.0,498,2305.977387
-129.5,921,2314.616357
-35.0,9,2314.64789
-46.5,45,2314.774946
50.5,232,2315.582074
32.0,282,2316.387297
101.0,85,2316.639086
29.5,346,2317.756617
67.0,140,2318.147835
11.0,310,2324.745152
-78.5,117,2325.177491
81.0,149,2325.661988
98.0,121,2326.059943
84.0,127,2326.417064
32.0,274,2327.209417
52.0,215,2327.8106
90.5,68,2328.065201
99.0,73,2328.279352
68.5,193,2328.820393
101.0,86,2329.086281
87.5,131,2329.461
97.0,57,2329.622167
-32.5,4,2329.640138
66.5,199,2330.271147
23.0,400,2337.163266
-31.5,6,2337.185263
64.0,186,2337.711821
-34.5,6,2337.727817
58.0,225,2338.35221
-37.5,9,2338.381237
86.5,134,2338.775544
73.5,152,2339.335226
73.5,104,2339.638623
83.5,122,2339.985179
56.0,250,2340.687474
-37.5,13,2340.729113
-35.0,6,2340.74371
98.0,65,2340.926948
-3.0,439,2342.304578
-75.0,102,2342.596743
71.5,191,2348.925573
-31.5,2,2348.933568
102.0,36,2349.061095
99.0,66,2349.301706
9.0,392,2350.389189
32.0,358,2351.483924
-32.5,3,2351.49342
-30.5,1,2351.501422
-53.5,54,2351.654032
-199.0,1148,2361.306037
14.5,316,2362.207669
4.5,405,2363.442686
84.0,92,2363.71386
36.5,340,2364.690408
44.0,273,2365.914172
105.5,19,2365.977714
78.0,165,2366.451322
66.0,181,2366.979308
77.0,134,2373.382336
-37.5,14,2373.417904
33.0,314,2374.482841
-15.0,395,2375.671047
-31.0,2,2375.687538
95.0,62,2375.88318
-45.5,25,2375.955291
76.0,129,2376.321844
-33.0,13,2376.354439
101.0,102,2376.647486
-33.5,4,2376.657488
-31.5,2,2376.662486
22.0,379,2377.782166
68.5,177,2378.292167
55.5,242,2379.052589
-42.0,33,2379.159214
-44.0,22,2379.223727
93.0,136,2385.700258
96.5,136,2386.077098
96.0,52,2386.220349
73.5,139,2386.685917
-32.0,26,2386.800439
98.0,88,2387.047015
91.5,135,2387.434481
-30.5,1,2387.438482
-38.0,10,2387.463017
-30.5,1,2387.466019
59.5,232,2388.154883
-42.0,21,2388.219392
75.0,181,2388.847213
-36.5,14,2388.883218
-36.5,32,2388.990753
48.0,254,2389.679045
90.5,97,2389.926301
94.5,48,2390.049945
68.5,127,2390.377549
71.5,156,2390.803467
76.5,186,2391.45094
77.0,175,2398.205263
102.5,75,2398.461191
82.5,159,2399.023974
38.0,274,2399.915193
-31.0,3,2399.925187
75.0,174,2400.418418
19.0,418,2401.683303
41.5,236,2402.363426
86.0,118,2402.910771
100.5,58,2403.075314
61.0,223,2403.747004
46.0,281,2410.467937
76.5,158,2410.938857
101.0,68,2411.217719
100.0,75,2411.469178
88.5,77,2411.689945
-40.0,25,2411.763104
87.0,149,2412.18219
95.5,23,2412.250266
-36.0,25,2412.317833
107.0,30,2412.397736
90.0,87,2412.644392
63.0,206,2413.223087
53.0,236,2413.973234
75.0,186,2414.508182
98.0,38,2414.614261
95.5,46,2414.749956
93.5,78,2414.978026
79.0,125,2415.394755
63.5,193,2415.990935
-60.5,68,2416.192056
38.5,295,2423.521634
-17.0,508,2425.072673
-780.0,3374,2451.302369
101.0,64,2451.532942
97.5,41,2451.680468
-66.0,83,2451.996104
-32.5,5,2451.996104
52.5,234,2452.79986
99.0,66,2453.004825
-59.0,631,2454.942435
27.5,346,2455.934918
76.0,131,2456.328892
-62.0,132,2456.686
-20.0,463,2462.839665
91.0,97,2463.133348
41.0,287,2464.014903
-110.0,891,2466.654337
78.0,106,2466.955365
95.0,84,2467.177077
96.5,85,2467.407605
-5.0,366,2473.657889
-13.5,478,2475.198705
89.0,99,2475.539582
-17.5,522,2476.865458
-36.0,11,2476.892116
-33.0,9,2476.907749
94.0,93,2477.175667
86.0,107,2477.451157
56.0,269,2478.134862
-44.0,48,2478.295518
-37.0,37,2478.403932
-112.5,885,2486.419749
-42.0,56,2486.561117
2.0,449,2487.715916
89.0,110,2488.00334
95.5,39,2488.088659
68.0,156,2488.485646
101.5,42,2488.586293
79.5,125,2488.930607
59.0,178,2489.652083
95.5,92,2490.041596
90.5,96,2490.42012
61.5,156,2491.094488
80.5,108,2497.596302
92.0,80,2497.844912
97.0,103,2498.167929
-61.5,78,2498.419629
58.0,162,2498.952635
31.5,341,2500.156818
70.5,132,2500.64779
83.0,75,2500.916809
102.5,86,2501.23163
69.5,196,2501.885169
29.0,363,2503.128551
82.5,143,2503.607931
27.0,379,2511.048347
82.0,150,2511.597279
89.5,92,2511.924765
84.5,162,2512.487273
91.0,51,2512.665209
-47.0,30,2512.775019
-67.5,106,2513.137634
63.0,227,2513.92403
49.5,244,2514.850817
103.5,77,2515.128225
66.5,192,2515.787977
-51.0,48,2515.968096
101.5,24,2516.054256
-30.5,1,2516.059759
82.0,134,2516.536679
100.5,71,2516.796386
-155.0,1102,2526.659352
71.5,231,2527.47777
58.0,256,2528.32948
68.5,111,2528.703052
55.0,243,2529.553596
97.5,59,2529.747573
81.5,156,2530.297553
-4.5,438,2538.039431
82.5,165,2538.615129
95.0,71,2538.869728
97.5,98,2539.221462
59.0,189,2539.909184
-18.5,474,2541.564919
-35.5,541,2543.441484
49.0,281,2550.557782
102.5,37,2550.681165
-307.0,1546,2555.976511
43.5,247,2556.803483
52.5,226,2563.024441
106.0,17,2563.081766
-32.5,6,2563.08777
85.0,144,2563.513668
40.0,329,2564.564367
103.0,7,2564.58006
41.5,325,2565.511888
8.0,446,2566.848965
35.5,304,2567.833246
66.0,159,2568.248876
103.0,37,2568.343573
-34.5,7,2568.374918
83.0,146,2568.753535
100.0,45,2568.890239
101.0,63,2574.80867
-39.5,14,2574.840404
66.0,191,2575.360746
108.0,30,2575.439784
71.5,195,2575.943962
-65.0,646,2577.73684
106.0,101,2578.013867
75.5,142,2578.424847
84.5,134,2578.756654
74.0,183,2579.27644
-49.0,31,2579.37122
103.5,43,2579.481679
-15.5,459,2586.218845
-36.0,10,2586.250588
83.5,139,2586.629618
83.0,111,2586.945096
95.5,69,2587.131138
86.5,197,2587.652808
-30.5,1,2587.668405
68.5,198,2588.183019
88.0,110,2588.482631
-36.5,17,2588.535636
59.0,165,2588.946286
75.0,184,2589.444938
52.0,195,2589.952285
-278.5,1580,2599.819058
85.5,100,2600.200655
105.5,64,2600.40352
2.0,375,2601.450989
-35.5,14,2601.488499
50.5,313,2602.477701
94.0,141,2608.593322
63.5,202,2609.277767
110.0,40,2609.396311
93.0,100,2609.676175
-43.5,19,2609.73571
2.5,424,2610.963086
107.0,66,2611.22375
66.5,165,2611.861159
11.0,322,2612.809194
64.0,150,2613.332603
95.5,114,2613.664561
94.5,66,2613.865111
94.0,110,2614.192549
-33.5,5,2614.208552
48.0,262,2621.017082
94.0,81,2621.273684
37.0,289,2622.145218
88.5,93,2622.461753
90.5,76,2622.648495
94.5,107,2622.924845
83.5,139,2623.347557
99.5,14,2623.396557
3.0,348,2624.536941
72.5,147,2624.97728
-903.0,4020,2649.313531
85.5,130,2649.674138
86.5,135,2650.09786
56.0,241,2650.830524
69.0,148,2651.260446
-25.0,528,2658.795316
67.5,203,2659.430777
68.0,152,2659.863156
42.0,275,2660.697995
-47.0,546,2662.449575
55.0,233,2663.133665
28.0,285,2670.140039
64.0,166,2670.626616
80.5,110,2670.944558
-154.5,862,2673.490818
30.5,309,2674.47009
68.5,178,2674.981665
80.0,159,2675.428904
94.0,133,2675.804
-45.5,62,2675.979678
84.5,134,2682.683113
104.5,69,2682.916896
74.5,183,2683.41934
88.0,130,2683.794101
62.5,205,2684.367022
-27.0,500,2685.886243
67.5,182,2686.392291
89.5,95,2686.684641
-30.5,1,2686.69061
-10.0,457,2688.139113
74.0,133,2694.656491
85.0,98,2694.929862
90.5,47,2695.063936
77.5,110,2695.387195
81.5,164,2695.887751
92.5,75,2696.126133
72.0,130,2696.487653
-37.0,11,2696.522749
59.0,209,2697.127674
64.0,161,2697.574692
14.5,350,2698.787371
77.0,99,2699.06354
-34.0,9,2699.087496
27.0,397,2700.27803
51.5,278,2707.2627
98.5,79,2707.49633
-34.0,15,2707.543898
80.5,170,2708.018416
95.5,38,2708.13228
76.5,131,2708.503631
-21.5,476,2710.133601
8.5,428,2711.477674
-40.0,36,2711.614523
71.5,172,2712.134238
17.0,397,2719.423776
54.5,268,2720.328668
46.5,248,2721.123998
55.5,150,2721.703485
83.5,119,2722.056099
-8.5,443,2723.450498
25.0,194,2724.060678
66.5,182,2724.697673
82.5,109,2725.042258
66.0,193,2725.680954
49.5,163,2731.973605
-30.5,1,2731.977713
77.5,139,2732.523888
-40.5,37,2732.637021
67.5,182,2733.203682
91.5,112,2733.545857
71.0,178,2734.066587
68.5,149,2734.536788
29.0,343,2735.733411
97.5,58,2735.900426
97.5,50,2736.141
111.5,33,2736.253016
102.0,35,2736.353033
40.0,308,2737.528992
51.5,182,2738.149346
98.0,90,2738.436954
57.5,262,2745.24514
92.5,92,2745.532306
92.0,88,2745.765502
87.0,67,2745.983175
92.5,69,2746.255613
89.5,77,2746.501359
74.5,114,2746.853186
100.0,36,2746.958232
63.5,185,2747.44457
