#{"t_start": 1750064445.9942791, "env_id": "my_robotenv-v1"}
r,l,t
-169.5,297,3.541543
-216.5,309,4.354717
-429.0,767,6.242836
-236.0,422,7.349528
-421.5,831,16.060728
-445.0,932,18.823909
-575.0,1090,27.358566
-84.0,120,27.650929
-335.0,652,29.651188
-47.5,49,29.786207
-33.0,10,29.810716
-640.5,1270,39.01518
-262.0,428,40.278968
-1347.0,2838,54.556531
-1058.5,2925,74.753612
-30.5,1,74.767612
-4223.5,12092,145.68332
-560.5,2059,157.709044
-1030.0,3766,180.746511
-268.5,1306,184.474692
1.0,390,185.708847
-895.0,3431,208.244052
-51.5,50,208.389071
-30.5,1,208.392071
-2228.5,8244,255.320637
-2605.0,9865,314.326746
-262.0,1318,324.040169
63.5,193,324.668638
-1506.0,5940,359.552209
-36.5,14,359.598735
-2988.0,11574,423.395362
-1939.5,7741,469.833311
-774.5,3349,491.492206
-82.0,772,493.920499
-464.0,2251,506.065128
-402.5,1944,517.898699
-19.0,441,519.257329
-623.0,2771,540.055318
-1278.5,5336,568.830728
-1217.5,5018,603.065011
-31.0,528,604.659012
-36.5,21,604.719113
-925.5,3881,629.695789
-381.0,1907,641.468238
-509.5,2504,654.782396
-39.0,21,654.838429
-275.5,950,657.598402
-30.5,9,657.619125
-1402.0,5728,694.01667
-196.5,1192,703.43813
101.0,33,703.531839
-374.0,1868,714.420396
-1129.5,4828,740.756057
-477.5,2222,753.074945
-147.5,416,754.213762
-33.5,21,754.28529
-37.0,15,754.340798
-1185.0,5083,787.119393
-44.5,650,789.003697
-10.0,510,796.382864
-20.5,518,797.807252
-29.5,3,797.821248
-1432.5,6076,833.337443
-354.5,1765,844.653533
-46.5,649,846.464093
-70.0,60,846.691951
-285.0,1593,857.290495
-402.0,2047,868.953501
-81.5,804,871.261959
-37.5,17,871.330497
53.5,292,872.264003
-220.0,1323,882.069749
-62.0,61,882.2395
70.0,190,882.749233
-950.5,4394,907.803051
-8.5,558,909.490769
-31.0,2,909.506767
-780.0,3386,931.668935
-156.5,1061,940.570909
-34.5,8,940.60542
-131.5,913,943.327364
-44.5,24,943.395044
-232.5,1386,952.780064
-450.5,2382,965.235189
-347.0,1902,977.289544
27.0,328,978.395933
-1322.5,5359,1013.081989
-27.0,566,1014.796198
96.0,35,1014.895371
85.5,138,1015.286953
-977.5,4151,1039.539785
-226.5,1330,1049.511846
86.5,69,1049.708978
-130.5,336,1050.690392
65.5,205,1051.26839
-16.5,457,1052.612871
-669.5,3146,1074.328335
-5.0,405,1075.526185
-226.0,1447,1085.448371
-99.5,837,1087.837251
-283.5,1491,1098.014678
64.5,189,1098.671232
15.5,391,1099.750052
-87.5,134,1100.129142
-435.0,2075,1112.122744
-97.0,796,1120.319427
36.5,295,1121.188571
48.5,317,1122.067381
-378.5,1920,1133.520367
-49.5,662,1135.400701
30.5,367,1136.534277
-110.5,836,1144.631912
-186.0,1164,1148.083918
-589.5,2797,1167.915608
68.0,177,1168.409174
75.5,123,1168.81479
-435.5,2224,1181.343852
-32.5,15,1181.388447
5.0,416,1182.533925
-12.5,532,1184.071711
-32.0,5,1184.085711
-764.0,3182,1204.960047
-37.5,20,1205.022621
91.5,56,1205.185598
-48.0,21,1205.24619
-38.5,20,1205.300769
-72.0,679,1207.318117
-31.5,2,1207.325117
-33.5,6,1207.34069
87.0,138,1207.731412
-196.0,1192,1217.002933
-40.0,648,1218.913531
-32.5,5,1218.936041
33.0,259,1219.729387
20.5,363,1226.376371
-173.5,1168,1229.843629
-127.0,977,1238.713452
-465.5,2129,1251.010446
-35.5,10,1251.04896
-35.5,17,1251.092466
-49.5,51,1251.238122
24.5,390,1252.330039
-400.0,1947,1264.239825
-136.0,945,1267.076166
-14.5,485,1268.620711
-142.0,1056,1277.55736
91.5,78,1277.802141
34.0,329,1278.728364
44.5,290,1279.615872
43.5,275,1280.373882
22.5,306,1286.936307
-89.0,826,1289.397751
-33.0,5,1289.41075
-101.0,939,1292.22111
11.5,453,1299.182958
18.5,377,1300.219017
-150.5,1081,1303.452009
30.5,294,1310.134555
57.5,241,1310.851506
-149.0,1012,1313.789929
-96.0,855,1322.307407
100.5,94,1322.579386
62.5,223,1323.219778
30.0,345,1324.285449
-65.0,126,1324.641358
18.0,360,1325.674181
75.5,196,1326.259336
78.0,140,1326.64466
38.5,287,1327.539274
-21.5,604,1335.468248
-42.5,20,1335.529726
30.5,281,1336.385812
-46.5,656,1338.319589
70.5,111,1338.603757
56.0,207,1339.128292
80.5,156,1339.519849
-75.5,682,1347.330962
-44.5,445,1348.734749
-88.0,785,1351.273406
-43.5,519,1358.648087
50.5,270,1359.391635
-36.0,7,1359.422635
-6.5,503,1361.202455
-42.0,642,1363.082503
46.5,252,1363.868906
55.5,224,1370.311439
17.5,435,1371.661689
91.5,76,1371.904361
96.5,91,1372.225895
-32.0,598,1373.923138
-64.0,116,1374.320912
-95.5,831,1382.583687
84.5,142,1383.013647
-81.5,677,1385.017295
-263.5,1306,1395.088944
-38.5,10,1395.122485
45.0,320,1396.064401
-30.5,1,1396.068401
-220.5,1254,1399.704147
72.5,148,1400.127527
-22.0,553,1407.77237
-58.0,618,1409.550764
-43.0,26,1409.617272
-30.5,17,1409.660779
-21.5,511,1411.052503
-51.5,35,1411.150673
100.0,112,1411.575992
-84.0,737,1419.539922
-29.5,1,1419.549921
-37.0,25,1419.64062
8.0,390,1420.724745
-37.0,14,1420.761281
-12.5,513,1422.357998
-34.0,6,1422.381132
-93.0,158,1422.813843
50.5,260,1423.566158
23.0,364,1430.721429
-30.5,5,1430.735507
61.5,169,1431.218617
-118.0,1036,1434.310122
-170.5,488,1435.72024
-878.0,3672,1458.663072
-3.0,383,1459.807709
60.0,171,1466.217779
-419.0,2146,1478.881779
-68.0,71,1479.197795
57.0,189,1479.718861
-33.0,6,1479.733861
-111.0,863,1482.137126
-186.5,1032,1491.133655
-144.0,971,1493.920833
-162.0,1053,1502.983469
-39.0,14,1503.022974
-1.5,390,1504.150441
48.5,208,1504.855418
-11.5,481,1506.237104
-49.0,30,1506.320975
-36.5,9,1506.343459
106.5,67,1506.602115
84.0,153,1507.048907
-374.5,1820,1518.489655
-31.0,594,1520.236109
41.5,341,1526.954839
64.0,195,1527.518095
40.0,211,1528.212957
-29.5,4,1528.257463
-146.5,1018,1531.520589
-98.5,223,1532.15109
9.5,367,1538.874778
63.5,261,1539.647335
-55.0,610,1541.454358
73.5,162,1541.916942
81.0,98,1542.267741
31.5,335,1543.545496
-36.5,10,1543.581551
70.0,149,1544.038744
84.0,72,1544.271304
25.5,326,1551.129044
-549.0,2614,1564.847193
-45.5,35,1564.95869
87.0,84,1565.204879
95.0,78,1565.410913
72.5,114,1565.724606
60.0,185,1566.275221
46.5,295,1567.554851
-223.0,1292,1577.180098
79.5,127,1577.53951
96.0,111,1577.850822
-32.0,530,1579.450843
-47.5,27,1579.532115
57.5,176,1580.035706
75.0,191,1580.57751
-35.0,7,1580.596018
82.0,101,1580.869564
44.0,340,1587.633824
71.5,157,1588.186243
-4.5,442,1589.658496
-106.5,757,1591.849088
77.0,101,1592.093338
85.5,86,1592.397334
-209.5,1279,1601.778507
43.5,262,1602.564763
38.5,320,1603.455801
-38.0,22,1603.524298
-500.0,2298,1616.3249
-166.5,987,1624.881627
30.0,370,1626.08173
-29.5,3,1626.090683
-34.5,9,1626.118199
78.5,169,1626.605193
71.5,116,1626.931242
29.5,325,1627.901778
-51.0,557,1635.383451
-10.0,471,1636.76259
67.0,131,1637.14525
-37.5,10,1637.178975
-47.0,41,1637.289041
-30.5,27,1637.369207
37.5,296,1638.320088
-6.5,461,1639.694936
87.0,122,1640.179232
55.5,239,1646.756902
44.0,241,1647.385666
88.0,102,1647.645946
89.5,51,1647.773029
64.0,202,1648.381601
68.5,212,1649.147582
-37.0,13,1649.186853
64.5,237,1649.9614
86.0,132,1650.335939
-39.5,43,1650.463512
-66.0,75,1650.67392
105.0,41,1650.823248
93.5,123,1651.226107
-32.5,3,1651.241107
-36.0,22,1651.303242
62.0,204,1651.881809
78.0,163,1652.350229
-3.5,356,1659.120046
-35.5,6,1659.138585
-71.0,166,1659.667989
17.0,390,1660.849359
-43.0,645,1662.755306
5.0,442,1664.136641
77.0,147,1670.547332
-36.5,9,1670.57833
-15.5,454,1671.871232
54.5,209,1672.527876
-135.5,1084,1675.820665
-36.0,544,1683.314786
12.5,461,1684.729807
82.5,158,1685.180561
92.0,52,1685.344813
-504.5,2390,1698.130078
7.0,450,1699.406058
100.0,72,1699.619123
60.0,231,1706.342486
17.5,380,1707.444731
-10.5,517,1709.090098
-34.0,10,1709.139608
45.0,245,1710.033563
-346.5,1576,1720.706114
38.0,247,1721.524653
74.5,116,1721.848602
-33.0,16,1721.889151
-108.5,839,1724.331824
56.0,217,1730.645654
61.0,224,1731.327576
-40.5,15,1731.372099
-30.5,20,1731.421668
37.5,227,1732.07981
80.5,144,1732.481558
60.5,227,1733.191678
90.5,94,1733.465179
-33.5,7,1733.485177
95.5,112,1733.806884
-33.0,14,1733.85042
86.0,177,1734.421458
42.0,260,1735.241042
28.5,336,1736.210184
-30.5,503,1743.684535
-76.0,662,1745.630941
84.5,161,1746.093833
68.5,201,1746.654731
46.0,314,1747.613663
-28.0,543,1755.206659
-109.0,778,1757.455894
5.5,442,1758.721166
-31.0,2,1758.727155
73.0,148,1759.197424
-31.0,2,1759.214422
-152.0,987,1768.255569
86.0,135,1768.650475
-56.5,67,1768.835327
-87.0,810,1771.553511
92.5,52,1771.756463
-38.0,13,1771.798041
-34.0,12,1771.834041
63.0,196,1772.387857
75.5,135,1772.78498
-39.0,24,1772.852054
-30.5,1,1772.855053
89.5,118,1779.262672
-47.5,28,1779.338211
-34.5,33,1779.42532
54.0,244,1780.303859
-53.5,72,1780.507983
-61.0,723,1782.681475
36.5,334,1783.641327
