#{"t_start": 1750064445.9882784, "env_id": "my_robotenv-v1"}
r,l,t
-431.5,837,4.921453
-816.0,1605,15.533139
-60.0,62,15.705366
-571.5,944,18.536679
-421.5,719,26.14114
-170.0,286,26.876846
-38.5,34,26.966869
-31.0,2,26.971869
-34.5,12,27.001378
-38.5,15,27.037883
-297.5,562,28.482366
-557.0,1057,31.75394
-403.0,785,39.575483
-64.5,59,39.733173
-36.0,11,39.767446
-733.5,1443,49.874265
-388.5,805,52.226759
-425.0,797,54.618044
-2157.0,5461,88.945653
-277.5,670,90.956228
-1246.0,3991,114.049371
-2508.5,8675,168.873184
-481.5,1956,180.514294
-632.5,1898,186.079427
-32.5,6,186.093935
-379.5,1852,197.81828
-31.5,3,197.828262
-35.5,12,197.868772
54.0,211,198.477921
-431.5,1880,210.252025
-1660.5,6223,245.567849
-833.0,3366,267.132004
72.5,133,267.560951
-337.0,1583,278.340466
-1440.5,5540,312.36052
-33.0,4,312.37814
-196.5,1150,315.779718
-45.5,31,315.872738
-1946.0,7427,361.142556
-476.0,2251,373.745474
-33.5,4,373.757457
-91.5,658,375.742481
-713.5,3051,397.255812
-374.5,1841,407.98244
-26.0,496,409.536999
-1203.0,4985,435.595165
-200.5,1260,445.520744
-721.5,3084,460.583617
-1689.5,6888,504.154154
-105.5,897,506.830487
-1046.0,4356,532.20454
-30.5,1,532.208547
70.5,210,532.770762
-157.5,928,541.90537
-33.0,8,541.939371
-56.0,67,542.153963
-1011.5,4277,567.616195
-34.0,10,567.646707
-2406.0,9370,628.22697
-896.0,3826,646.244992
-2027.0,8358,701.588981
-51.5,693,703.66097
-132.5,945,706.246878
-1230.0,5314,739.672822
-209.0,1257,749.268175
-432.5,1481,753.412611
-1337.0,5634,787.717418
-85.0,787,789.990496
39.5,259,796.681832
-69.5,617,798.484758
85.5,116,798.802364
-774.5,3546,821.008253
-46.5,613,822.809084
-173.5,1123,832.009194
-60.5,79,832.220736
-49.0,27,832.29226
-143.5,1073,835.444353
34.5,289,836.384761
-76.5,761,844.611425
-298.0,1622,849.408313
-124.0,886,857.875613
-64.5,685,859.828151
-265.0,1448,869.823822
33.5,304,870.659146
-34.0,6,870.675176
-438.5,2096,882.762235
-22.5,614,884.600034
69.0,133,884.985699
-673.0,3182,906.411613
-196.0,1222,916.148459
-38.5,23,916.215968
-133.0,1073,919.34357
-198.0,1187,928.722897
46.0,265,929.595169
86.5,142,929.986454
-159.0,1160,933.723695
-664.0,3058,953.815325
-105.5,782,956.087028
-42.0,589,963.335857
80.0,153,963.79305
71.5,141,964.155119
-39.0,28,964.225627
-466.5,2340,977.585225
-131.0,846,980.379373
-46.5,51,980.519019
-64.0,107,980.864624
-16.5,523,988.523859
-529.0,2505,1002.366779
-461.0,2223,1015.03055
-30.5,1,1015.040522
-884.5,3925,1038.626224
-92.5,839,1041.133116
-36.5,16,1041.18028
25.0,280,1041.978471
-1372.0,5917,1077.825757
-371.0,1892,1089.007992
24.5,350,1089.998325
45.5,307,1096.791241
-17.0,482,1098.157243
20.0,326,1099.17731
3.5,345,1100.130142
-31.5,15,1100.174717
2.0,438,1101.580369
-401.5,1965,1113.148443
19.0,376,1114.203089
-1089.5,4527,1144.788583
36.0,329,1145.720011
4.5,435,1147.121753
-171.5,1142,1156.072675
-68.5,144,1156.55337
-357.0,1893,1168.019666
-51.0,604,1169.787385
-172.5,1078,1173.160478
-31.0,2,1173.167476
-181.5,1138,1182.266223
-30.0,5,1182.280224
-47.5,55,1182.424939
-228.0,1234,1191.798786
-378.5,1383,1195.866706
-387.5,1369,1205.622172
-43.5,19,1205.676883
10.5,350,1206.760959
34.5,341,1207.725414
36.0,275,1208.559776
-32.0,3,1208.575532
19.0,396,1215.48035
-449.5,2273,1227.783352
-38.0,614,1229.630079
-35.5,9,1229.660586
-54.0,95,1229.921127
76.0,173,1230.48246
-105.0,872,1239.02564
-287.5,1572,1244.058779
80.5,152,1244.484872
-438.0,2108,1256.312859
-55.5,100,1262.432184
-116.0,998,1265.674048
47.0,251,1266.364814
-550.5,1844,1277.844703
67.0,200,1278.398746
-53.0,638,1280.257731
-126.5,918,1288.656271
10.5,478,1290.028874
-21.0,549,1291.738076
12.5,285,1298.188583
60.5,167,1298.691318
15.5,369,1299.719952
-351.5,1319,1303.609599
-39.5,28,1303.685138
-32.5,588,1311.247426
-13.5,516,1312.740644
47.5,243,1313.446462
-33.0,11,1313.476434
-31.5,2,1313.482433
-341.0,1704,1324.521256
90.5,90,1324.764053
-34.5,6,1324.786058
-86.0,724,1326.863995
62.5,172,1327.432267
45.5,285,1334.328656
76.0,109,1334.640833
-31.5,2,1334.64683
26.0,376,1335.906776
-215.0,1222,1339.331209
-35.5,7,1339.348714
-87.0,758,1347.360511
71.0,196,1348.076185
-473.5,2191,1360.81836
-89.0,759,1363.030994
-32.5,4,1363.048502
0.5,463,1370.240715
66.5,174,1370.734814
-30.5,4,1370.746403
-42.0,15,1370.793059
-42.5,59,1370.957624
67.0,162,1371.527159
-90.0,857,1374.08017
43.0,304,1374.989099
9.5,405,1381.966334
-50.5,570,1383.672314
5.0,401,1384.893767
37.5,278,1385.684398
22.0,376,1386.810939
-96.0,760,1395.318111
-31.5,578,1397.001486
41.0,284,1397.793977
72.5,187,1398.311093
-31.5,11,1398.347668
-2.5,478,1399.756723
-14.5,514,1407.175262
47.5,242,1407.981074
40.5,303,1408.954284
-10.0,493,1410.200013
77.5,128,1410.539071
-236.0,1188,1419.925376
51.5,273,1420.686253
-81.0,828,1423.179785
-48.5,671,1431.212617
-41.0,656,1433.161243
49.0,304,1434.088463
60.0,193,1434.647954
20.0,355,1435.666692
-49.5,571,1443.486595
-196.5,1185,1447.062342
-239.5,1391,1457.046225
-70.5,58,1457.209155
-36.0,15,1457.252723
10.0,380,1458.309822
-1.5,536,1459.99223
-210.5,1273,1470.016763
-30.5,1,1470.019758
-939.5,3938,1493.420451
-30.5,1,1493.424452
-119.0,883,1495.991012
98.0,98,1496.350172
69.0,189,1502.813365
-69.0,694,1504.933147
-41.5,11,1504.974655
52.0,290,1505.792502
-469.0,2126,1518.192068
76.0,139,1518.592166
-142.0,917,1527.00136
-40.5,571,1528.766576
87.0,125,1529.144139
-36.0,7,1529.162797
-31.5,4,1529.180797
58.0,197,1529.784195
53.0,251,1530.648021
-30.5,600,1532.554176
50.0,297,1539.023315
72.5,159,1539.480263
-58.5,39,1539.600791
-30.5,1,1539.603799
-104.0,911,1542.34474
68.0,178,1543.069661
20.0,330,1544.158764
76.0,129,1544.576541
-35.5,6,1544.593553
87.5,93,1550.720368
87.5,85,1550.97545
-30.5,1,1550.97945
38.0,316,1551.956361
-637.0,2771,1566.058185
-5.5,337,1567.482825
65.5,192,1568.017317
42.5,314,1568.88125
-37.0,20,1568.943298
-12.5,508,1576.321432
38.5,288,1577.197228
-178.5,1275,1580.902061
-35.5,30,1586.81434
-29.5,4,1586.824341
103.5,50,1586.963865
-61.0,644,1588.930186
17.5,388,1590.228944
-33.0,546,1591.793507
-5.5,465,1598.853575
71.5,129,1599.181947
78.5,182,1599.66784
-103.0,750,1601.878601
31.5,282,1602.724831
-188.5,1093,1611.810833
18.5,332,1612.848831
3.0,459,1614.262289
-65.0,77,1614.558072
-214.5,1257,1623.911386
43.0,266,1624.628109
52.0,242,1625.412349
-35.5,573,1627.116334
25.0,343,1628.13987
-241.5,1316,1637.925831
30.0,360,1639.009738
59.0,186,1639.547951
21.0,360,1646.626201
75.5,93,1646.868946
97.0,72,1647.069969
79.5,105,1647.326559
63.5,185,1647.805537
19.5,329,1648.813164
72.0,131,1649.296165
34.0,368,1650.454513
-37.5,11,1650.486512
24.5,299,1651.417288
52.5,208,1652.0254
-296.5,1583,1662.484397
25.0,429,1663.724584
-32.5,5,1663.738584
71.5,199,1670.372493
85.5,102,1670.68972
-33.5,6,1670.713686
96.0,66,1670.891633
21.0,310,1671.785021
30.5,345,1672.82316
84.5,89,1673.087907
60.5,179,1673.62711
105.5,60,1673.839415
-1602.0,5840,1708.822344
-551.0,2459,1722.408901
-44.0,42,1722.537647
80.5,107,1722.825534
84.0,157,1723.331753
68.5,148,1723.754705
-37.5,45,1723.881601
36.0,239,1724.575923
77.0,157,1730.706249
32.5,350,1731.749433
-11.5,517,1733.281255
67.0,218,1733.915961
87.0,164,1734.460036
37.0,374,1735.603901
46.0,266,1736.362833
61.0,166,1742.794807
76.0,165,1743.351023
-100.5,763,1745.583345
71.0,176,1746.084324
-46.5,67,1746.269552
-39.0,11,1746.303144
33.5,310,1747.247621
-33.0,13,1747.282629
83.0,123,1747.641321
-917.5,3464,1769.999381
-44.5,29,1770.084404
83.5,200,1770.752859
83.0,98,1771.225769
52.0,243,1771.97969
61.5,233,1772.646685
-19.5,433,1780.129681
33.5,318,1781.054955
-72.5,114,1781.387473
100.5,62,1781.576022
70.5,153,1782.07602
106.5,66,1782.264502
-35.0,6,1782.280531
39.5,283,1783.094144
-14.5,537,1784.704085
15.5,405,1791.727676
79.0,99,1792.000523
-39.5,592,1793.815405
16.5,318,1794.717193
-30.5,1,1794.721189
82.5,112,1795.092058
-6.5,511,1796.551311
-44.0,28,1796.639917
98.0,52,1796.788565
-21.5,545,1804.521235
-39.5,35,1804.618342
73.5,125,1804.982184
64.0,145,1805.550873
-33.0,5,1805.575873
-4.5,384,1806.705055
-29.5,1,1806.710016
91.5,63,1806.8797
31.5,342,1807.947135
58.5,260,1808.683747
57.0,242,1809.456749
36.5,338,1816.163257
2.0,474,1817.411124
32.0,340,1818.563929
22.5,330,1819.510458
53.0,232,1820.264784
29.5,319,1821.292728
66.0,165,1827.478406
31.5,366,1828.663718
38.0,229,1829.339215
-4.0,470,1830.748926
96.0,96,1831.140957
21.0,346,1832.215096
1.5,382,1833.457205
-1.5,395,1840.780405
-34.5,31,1840.941493
-45.0,27,1841.062505
73.5,226,1842.051919
-36.5,37,1842.151952
51.5,193,1842.708797
-32.5,7,1842.727797
55.5,259,1843.53634
40.0,253,1844.263218
75.0,124,1844.62041
94.5,78,1844.835438
58.5,206,1845.479693
-36.5,15,1845.529201
85.0,120,1845.867785
48.0,270,1852.605426
58.5,229,1853.554106
101.0,69,1853.740173
97.5,79,1853.952274
97.0,75,1854.174375
70.5,169,1854.681692
94.5,44,1854.811697
10.5,346,1856.216519
-31.5,9,1856.247027
47.5,299,1857.603783
14.5,361,1858.755766
11.5,381,1866.072964
-35.5,7,1866.091475
76.5,118,1866.52107
66.0,158,1866.988746
-223.5,1317,1870.928695
-15.0,442,1878.094665
-3.5,329,1879.039155
-37.0,9,1879.062684
-86.5,154,1879.456568
57.0,189,1879.927458
45.0,232,1880.535548
49.5,243,1881.318657
64.5,202,1882.013596
60.5,205,1882.611459
46.0,258,1883.37994
-43.5,558,1891.216917
87.0,117,1891.63
-38.0,19,1891.681563
55.5,219,1892.226217
-17.0,509,1893.818369
28.5,353,1894.820595
-35.5,8,1894.849209
101.0,70,1895.057248
24.5,336,1902.13175
74.0,185,1902.65517
-35.5,8,1902.676174
74.5,178,1903.191984
-57.5,46,1903.363254
77.0,154,1903.804665
-83.0,791,1906.192387
-145.5,923,1914.842149
96.0,80,1915.076808
68.0,200,1915.716712
88.5,162,1916.162235
38.5,288,1917.024313
67.5,213,1917.726697
75.5,162,1918.194856
-0.5,443,1919.456784
23.0,356,1926.322386
98.0,70,1926.519457
63.5,128,1926.871428
67.0,215,1927.558686
-34.0,533,1929.129195
-126.5,966,1937.993886
27.0,352,1939.027003
20.0,326,1940.078387
-48.0,581,1941.763453
-44.5,656,1943.737777
-53.5,38,1943.844312
56.0,234,1950.449564
65.0,203,1951.074921
52.0,193,1951.672529
-27.0,498,1953.135566
43.5,304,1954.016024
102.5,51,1954.173579
46.5,265,1955.053095
-35.5,19,1955.145628
