#{"t_start": 1750064445.9827676, "env_id": "my_robotenv-v1"}
r,l,t
-32.0,4,2.74308
-308.5,582,4.312719
-33.0,9,4.336719
-89.0,90,4.560763
-981.0,1793,15.640791
-511.0,874,18.304152
-1042.0,2094,29.733209
-142.5,139,30.116284
-152.5,225,30.72924
-353.0,693,38.272852
-614.5,1317,42.190046
-426.5,829,50.471969
-242.0,448,51.797196
-202.0,422,53.039618
6.5,208,53.628374
-520.5,1135,62.955188
-527.0,1217,66.555103
-410.0,1405,76.434905
-894.5,2116,89.251144
-31.5,2,89.258141
-313.5,1229,99.014657
-1032.0,3487,114.500187
-836.0,2889,134.50479
-3798.5,12582,207.68127
-3080.5,11214,269.52948
-2208.5,8212,317.520599
-66.0,655,325.300359
93.5,46,325.524916
58.5,235,326.254392
-1695.5,6651,363.171902
-219.0,1129,372.568049
-205.0,1271,376.291568
-670.0,2945,397.474416
-696.5,3151,412.171379
-1975.0,7973,459.315592
-788.5,3503,480.945756
-272.5,1384,491.105477
-994.0,4249,515.47232
-31.5,4,515.488318
-298.0,1554,520.208653
-46.5,37,520.309659
-442.0,2028,532.614875
-793.0,3523,555.876367
-32.5,571,557.818897
37.0,316,564.972344
-742.0,3443,581.776092
-10.5,510,589.21523
-1529.0,6227,627.897914
-36.0,21,627.970935
-799.0,3494,644.646295
-278.5,1526,654.827429
-173.5,1064,663.834524
-1373.0,5625,694.012217
-35.5,37,694.164809
-188.0,1164,703.459888
-247.5,1424,713.024228
-3935.5,15288,799.60714
-1628.5,6980,837.674461
-998.5,4264,867.83556
-53.5,653,869.751746
-182.5,1210,873.225154
-835.0,3823,896.476932
-375.5,1846,907.964241
-149.0,1002,917.037233
-52.0,651,918.851902
50.0,301,919.789277
7.5,543,921.265192
30.5,327,928.206079
-116.5,859,931.004012
-437.5,1962,942.68495
-297.5,1579,952.608044
37.5,343,953.689312
63.5,171,954.156389
57.5,167,954.615196
-509.0,2487,967.328886
-119.5,915,976.415545
-61.5,751,979.033261
-310.0,1575,990.004061
-41.5,594,991.723424
-954.5,4074,1016.158956
-30.0,7,1016.182056
-1242.0,5158,1049.486846
-114.0,844,1051.903817
19.0,341,1053.023496
-178.5,1159,1062.513437
13.5,389,1063.798976
-115.5,906,1066.682326
-28.0,32,1066.780346
-29.0,13,1066.813852
77.5,165,1073.234873
-33.0,12,1073.274393
34.0,350,1074.300812
-86.0,697,1076.312528
-33.0,28,1076.391746
-35.5,14,1076.426054
-250.5,1473,1086.518431
-29.5,2,1086.525447
-407.5,1994,1098.091841
-114.0,953,1100.897711
4.5,399,1102.141918
-70.0,614,1109.719432
8.5,429,1111.085749
12.5,441,1112.307734
-62.0,687,1114.357856
-30.5,1,1114.361862
-1128.0,4916,1145.983881
-542.0,2551,1159.260647
-24.0,505,1160.7695
-585.5,2832,1180.9388
92.0,94,1181.277559
-1259.0,5468,1208.781426
-34.0,9,1208.805933
52.0,193,1215.15277
-38.0,33,1215.247478
-570.5,2514,1228.215819
-181.5,1126,1231.765304
60.0,169,1232.230913
102.5,10,1232.279419
25.0,382,1239.26551
77.5,161,1239.731797
-159.0,1023,1242.831764
-220.0,1237,1252.32755
85.5,57,1252.485603
-134.5,899,1255.234789
-33.5,10,1255.268291
-64.5,118,1255.60805
-106.5,295,1262.287802
-550.0,2654,1276.40433
-93.0,126,1276.753816
-53.0,644,1278.621866
-38.5,14,1278.666372
-109.0,920,1287.052014
-38.5,13,1287.086531
-180.5,576,1288.775803
-125.5,868,1291.414655
-271.5,1488,1301.31241
32.5,339,1302.353309
95.0,57,1302.542028
-37.5,16,1302.612045
57.0,208,1303.199072
66.0,208,1303.784283
45.5,270,1310.386935
-111.0,994,1313.297578
-43.0,27,1313.379834
-84.5,747,1315.857629
-385.5,1232,1325.193207
69.0,179,1325.743257
-90.0,757,1333.846647
49.0,240,1334.726415
-32.5,4,1334.737444
-62.0,153,1335.29618
79.0,181,1335.873779
59.5,280,1336.681584
-75.5,632,1338.522258
53.5,205,1339.044758
54.0,195,1339.535362
15.5,409,1346.488518
87.0,153,1346.921487
59.5,229,1347.715391
-74.0,656,1349.692073
-41.0,21,1349.754218
-10.5,436,1351.265278
-25.0,535,1358.682602
-90.5,883,1361.539809
-37.0,13,1361.583396
16.0,414,1362.794137
-35.5,27,1362.868991
-39.5,17,1362.919483
55.0,214,1363.56401
46.0,263,1370.143698
61.5,164,1370.624179
62.0,189,1371.269972
-687.5,3103,1386.298121
-32.5,5,1386.318754
73.5,204,1386.901334
-33.5,11,1386.939916
28.5,375,1394.03696
-31.0,2,1394.053464
40.5,238,1394.988947
-32.5,6,1395.007464
22.5,321,1395.943389
-1101.5,4498,1420.812345
-67.0,118,1421.196477
-50.5,645,1423.120966
5.0,424,1430.433677
-32.0,11,1430.473182
-39.5,18,1430.531692
-98.5,742,1432.729317
-32.5,18,1432.779808
-36.5,9,1432.802825
18.0,399,1433.949445
-30.5,1,1433.959955
-31.5,2,1433.966955
-0.5,456,1435.320672
15.0,374,1442.589595
-36.0,26,1442.661709
-201.5,1297,1446.53889
-110.5,893,1455.094031
49.0,259,1455.812021
61.0,166,1456.273818
71.0,224,1456.957227
62.5,191,1457.500867
-4.0,457,1458.881825
14.0,398,1460.081772
