#{"t_start": 1750064445.9922793, "env_id": "my_robotenv-v1"}
r,l,t
-835.0,1759,7.251509
-187.5,250,7.865875
-309.0,524,15.7789
-156.0,339,16.738267
-216.0,283,17.767005
-542.0,1122,26.416688
-99.0,125,26.733419
-2173.0,4189,50.310041
-209.0,391,51.388977
-361.0,624,53.273293
-30.5,1,53.276294
-7507.5,22015,182.985964
-1889.0,6007,219.253941
-1115.0,4275,242.341954
-603.0,2514,255.816527
-1133.5,4491,281.146898
-34.0,13,281.211456
-41.5,22,281.333475
-912.0,3761,304.138536
-2336.5,9084,360.342117
-2214.5,9126,411.091408
-945.0,4042,434.320123
-352.0,1795,446.011612
-2654.0,10431,505.748959
-176.0,1095,514.989057
-93.5,127,515.455808
-39.0,15,515.501317
-479.5,2260,528.193267
19.5,455,530.085143
-200.0,1198,539.736717
44.0,281,540.789936
-954.0,4120,565.896913
-1893.0,7543,607.690713
-34.5,26,607.769731
4.0,339,615.236914
-1415.5,5696,645.45464
-194.5,1288,654.730886
-456.5,2098,667.161641
-2124.0,8764,717.495998
-1087.5,4517,748.841498
-443.0,2179,760.94666
-51.5,591,762.620228
-144.5,998,765.514363
-78.0,798,773.816969
53.5,265,774.539275
-4.0,503,775.998754
-494.0,2376,789.089832
-1093.5,4776,820.752518
25.5,344,821.728912
-836.5,3878,845.087998
-733.0,3357,860.75308
-145.5,966,869.411696
-842.5,3616,891.910984
-567.0,2570,905.558455
-132.0,1040,908.651324
-228.5,1261,918.377262
-413.5,2118,930.756938
-29.0,3,930.773938
-41.0,19,930.819447
25.5,334,931.854641
-350.0,1795,942.999714
30.5,338,943.914254
-1046.5,4603,968.335174
21.5,406,975.823246
-592.5,2858,990.967803
47.5,233,991.602862
31.5,316,992.545659
4.5,387,993.840415
45.5,245,1000.726012
3.0,451,1002.088576
-535.5,2495,1015.538959
-526.5,2514,1028.815364
-26.0,581,1036.528413
-306.0,1616,1041.488592
-82.0,804,1049.863286
-49.5,37,1049.968374
27.0,362,1051.025246
69.0,157,1051.468035
-33.5,4,1051.480041
-166.5,1105,1060.559685
84.5,187,1061.12553
-68.5,733,1063.745944
13.0,427,1065.199841
-1084.5,4640,1090.452922
-159.5,1064,1099.385484
35.0,324,1100.284787
-32.0,5,1100.3033
-148.0,1038,1109.23869
-36.0,567,1110.867919
-25.0,524,1112.449411
38.0,260,1113.240702
-273.0,1524,1123.482583
-64.5,723,1125.587623
14.5,411,1132.668781
-217.0,1249,1136.328398
-106.0,772,1144.138951
21.0,333,1145.193929
-129.0,938,1147.998907
13.5,318,1148.958571
-178.5,1115,1157.892931
-14.5,437,1159.186563
-106.5,840,1167.589422
-480.0,2328,1180.359842
-286.5,1467,1184.60131
-42.0,19,1184.654817
41.5,350,1191.504233
-59.0,66,1191.689205
-176.0,1089,1194.825601
20.5,406,1196.080518
-16.5,511,1203.337961
-311.0,1558,1207.898686
-247.0,1465,1217.937694
-10.5,532,1219.602372
-455.0,2163,1231.745199
42.0,304,1238.466278
97.0,41,1238.587903
-361.0,1780,1244.24182
99.0,48,1244.374888
-29.5,7,1244.395364
34.0,368,1251.094466
73.0,178,1251.600254
-35.5,9,1251.62325
92.0,66,1251.804285
-355.5,1212,1255.427489
56.5,191,1255.983442
-34.5,6,1256.002947
-172.0,540,1263.693727
-31.5,6,1263.723728
-107.5,870,1266.2518
1.5,438,1267.756001
-53.0,78,1267.98818
-38.0,11,1268.018744
-119.0,948,1276.62689
1.5,416,1277.855701
52.0,230,1278.4953
-44.5,24,1278.572811
28.5,324,1279.520049
58.0,284,1280.331325
-161.0,957,1288.862342
95.0,84,1289.115982
53.0,293,1289.927855
-98.0,792,1297.979922
71.5,159,1298.405526
-165.0,1021,1301.352439
20.0,298,1302.282636
43.0,305,1303.196155
-33.0,5,1303.209189
-101.0,792,1311.337011
75.5,165,1311.801399
-27.5,546,1313.398912
-64.5,634,1315.472319
-255.5,1481,1325.593614
-29.0,2,1325.604611
-31.5,3,1325.61864
-28.5,562,1327.326234
-243.5,1364,1337.466189
19.0,352,1338.523741
-182.0,1174,1347.666314
-101.0,923,1350.397841
-495.5,2388,1363.823362
-33.0,5,1363.845932
-71.0,675,1371.679688
-14.0,464,1373.100483
10.0,406,1374.308941
-84.5,773,1382.400527
68.5,130,1382.772978
-81.0,682,1384.814734
13.5,394,1385.929798
-3.0,456,1387.307621
0.0,454,1394.875415
13.0,334,1395.862341
97.5,105,1396.174475
26.0,372,1397.263875
-33.5,5,1397.276888
-160.0,1059,1406.181209
41.0,308,1407.149261
83.5,154,1407.709521
42.5,266,1408.543166
-530.0,2316,1421.02034
12.5,387,1422.219411
-41.5,589,1423.93294
-39.0,29,1430.090043
83.5,134,1430.46967
-97.5,811,1432.864336
81.5,198,1433.421049
-38.5,25,1433.496702
-67.5,647,1435.414297
-51.5,51,1435.573813
33.5,249,1442.453069
75.0,197,1443.04559
38.5,266,1443.799521
91.5,110,1444.132511
99.5,17,1444.203683
96.5,127,1444.603914
-39.0,19,1444.658449
49.5,247,1445.367477
-37.5,16,1445.409015
-441.0,2129,1457.597424
18.0,336,1458.625651
-40.5,49,1458.775222
-62.0,723,1466.904936
-93.5,163,1467.450633
-29.0,497,1468.897729
-132.0,968,1471.861757
-305.5,1760,1483.057606
-11.5,429,1484.380137
-136.0,1034,1493.288932
76.0,89,1493.552764
-233.5,1253,1503.18724
94.5,66,1503.375518
54.0,216,1503.993078
39.5,289,1504.939658
-2.5,477,1506.30294
-94.5,702,1508.458552
-30.5,18,1508.542593
99.0,65,1514.519107
7.0,476,1515.993176
46.5,306,1516.979858
74.0,89,1517.244556
-40.5,17,1517.29307
-10.0,434,1518.648185
-298.5,1646,1529.321346
36.5,290,1530.21381
31.5,340,1531.360079
-17.5,545,1538.610725
-13.0,510,1540.13454
-39.5,13,1540.17505
74.0,176,1540.725355
-57.5,747,1543.150414
39.0,251,1543.990249
64.0,216,1544.682181
71.0,197,1551.149588
6.5,433,1552.462726
-4.0,484,1553.936339
20.5,357,1555.000821
-252.0,1373,1564.98169
98.0,48,1565.121874
3.0,380,1566.183709
67.5,150,1566.949335
-111.5,863,1575.42575
-2.0,425,1576.615401
75.5,122,1576.953312
-148.0,1031,1580.051212
90.5,100,1580.327327
45.0,317,1587.048882
58.5,213,1587.615815
-37.0,14,1587.65932
-393.5,1956,1599.275203
72.5,187,1599.792587
104.5,64,1600.024925
59.5,195,1600.60444
90.0,82,1600.828705
-33.0,7,1600.855272
70.5,167,1601.33196
58.0,218,1602.003206
-31.0,2,1602.016206
12.5,415,1603.175504
-37.5,17,1603.218039
-27.0,528,1610.721627
-26.5,558,1612.396516
70.0,227,1613.053499
84.5,127,1613.401225
72.5,174,1613.955992
-28.5,508,1615.529168
74.5,185,1616.053288
62.5,209,1622.601269
84.5,139,1622.944445
54.5,211,1623.47677
110.0,38,1623.578482
-40.0,20,1623.62806
56.0,204,1624.142311
57.5,236,1624.802324
37.5,335,1625.896182
66.0,211,1626.516093
-33.5,6,1626.533092
88.5,109,1626.837653
37.0,339,1627.847236
37.5,270,1634.539513
-11.5,446,1635.827433
-98.0,842,1638.339565
77.0,183,1638.902689
-36.0,7,1638.92369
-41.5,17,1638.979205
1.0,418,1640.312819
-40.0,12,1640.344823
62.5,260,1646.986952
-28.5,11,1647.016461
59.5,169,1647.43615
-39.5,11,1647.465143
89.0,107,1647.733516
76.5,178,1648.264443
78.5,112,1648.60824
52.0,228,1649.393896
-40.0,22,1649.457409
108.0,22,1649.524973
89.0,128,1649.999893
55.0,262,1650.736157
103.0,35,1650.8717
61.5,190,1651.467795
98.0,70,1651.671659
21.0,389,1658.577059
-32.0,3,1658.58506
-36.5,12,1658.613569
-38.0,631,1660.515786
-50.5,591,1662.257808
43.5,281,1663.071646
-9.0,478,1670.527825
-30.5,1,1670.532823
73.5,182,1671.067668
-44.5,44,1671.18853
19.5,391,1672.331714
-9.0,515,1673.903957
-38.5,15,1673.944519
-17.0,496,1675.492296
-30.5,1,1675.503297
91.5,78,1675.717527
-41.5,39,1675.821662
47.5,263,1682.449467
-31.5,2,1682.455978
-909.5,3501,1698.594956
31.0,323,1699.515104
57.5,226,1700.212229
-83.0,764,1708.480099
33.0,308,1709.689203
-47.5,61,1709.858852
52.5,327,1710.847845
67.0,195,1711.440724
-33.5,43,1711.704937
-33.0,6,1711.723937
60.0,207,1712.289507
-36.0,16,1712.34704
69.5,237,1719.001922
60.5,237,1719.681824
76.5,179,1720.180066
-30.5,537,1721.801988
65.0,130,1722.174985
-41.5,15,1722.213558
4.5,483,1723.646025
83.5,97,1723.914152
89.5,100,1724.201622
69.0,140,1724.607462
18.0,347,1731.324586
-222.0,1174,1734.821526
65.5,237,1735.574663
69.0,196,1736.135611
41.5,359,1743.20364
-41.5,16,1743.251234
69.5,189,1743.784613
5.5,358,1744.788973
92.5,94,1745.081271
53.0,270,1745.889285
81.5,144,1746.308097
-35.5,11,1746.336591
23.0,383,1747.489259
-46.0,43,1747.612282
35.0,290,1748.435756
-37.5,460,1755.793014
72.0,144,1756.197139
96.5,188,1756.717366
-42.0,41,1756.825504
-149.5,924,1759.683481
25.5,294,1760.604496
96.5,129,1766.958975
-41.0,47,1767.104528
-34.0,8,1767.123557
5.5,433,1768.410767
-41.0,34,1768.521864
64.5,196,1769.078901
61.0,173,1769.665325
88.5,116,1770.015895
-31.0,2,1770.022895
76.0,186,1770.658147
-67.5,622,1772.680717
29.0,338,1779.867269
42.5,276,1780.672621
51.0,292,1781.544019
46.5,222,1782.248502
102.5,54,1782.400096
37.5,235,1783.077912
53.0,293,1783.945376
98.0,33,1784.11604
-144.5,942,1792.623224
27.0,360,1793.787825
58.5,203,1794.352404
87.5,132,1794.735187
87.5,169,1795.266898
-37.5,12,1795.303406
22.5,320,1796.21354
-37.0,10,1796.247044
26.0,428,1803.594929
-41.5,18,1803.645995
97.5,89,1803.887236
54.5,285,1804.770015
-30.5,1,1804.774013
99.0,64,1804.95618
-76.0,699,1807.202956
-33.5,18,1807.274532
27.5,318,1808.206054
50.0,188,1808.734484
-33.0,11,1808.768518
-29.5,1,1808.771518
9.5,463,1815.934795
39.0,283,1816.658742
-39.5,34,1816.743066
92.0,61,1816.899203
-143.5,880,1819.586968
-35.0,527,1821.305243
57.0,240,1827.809963
57.5,250,1828.524191
84.0,108,1828.851371
-46.5,34,1828.993476
27.0,369,1830.012643
38.5,256,1830.890457
-42.0,540,1832.64671
77.0,166,1833.206662
50.0,244,1839.985063
76.5,130,1840.413646
-40.0,22,1840.486157
82.0,87,1840.776404
89.0,65,1841.076506
95.5,34,1841.290146
-4.0,430,1842.742797
69.5,160,1843.268793
79.5,169,1843.756891
75.5,117,1844.091075
33.5,332,1845.054003
47.5,228,1845.746735
-37.0,15,1845.792739
-26.5,484,1853.391609
